time,data,src
34594337908.18517,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=6|eta=5,pHelmIvP:323:waypt_survey
34594337908.97326,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=5|eta=4,pHelmIvP:327:waypt_survey
34594337909.79606,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=4|eta=3,pHelmIvP:331:waypt_survey
34594337910.970375,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=3|eta=3,pHelmIvP:335:waypt_survey
34594337911.178024,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=3|eta=2,pHelmIvP:336:waypt_survey
34594337911.55159,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=2|eta=2,pHelmIvP:338:waypt_survey
34594337911.766235,vname=henry|behavior-name=waypt_survey|index=2|hits=2/2|cycles=0|dist=22|eta=18,pHelmIvP:339:waypt_survey
34594337911.766235,vname=henry|behavior-name=waypt_survey|index=2|hits=2/2|cycles=0|dist=22|eta=18,pHelmIvP:339:waypt_survey
34594337912.33453,vname=henry|behavior-name=waypt_survey|index=2|hits=2/2|cycles=0|dist=22|eta=19,pHelmIvP:342:waypt_survey
34594337912.72065,vname=henry|behavior-name=waypt_survey|index=2|hits=2/2|cycles=0|dist=21|eta=20,pHelmIvP:344:waypt_survey
34594337913.11432,vname=henry|behavior-name=waypt_survey|index=2|hits=2/2|cycles=0|dist=21|eta=21,pHelmIvP:346:waypt_survey
34594337913.32935,vname=henry|behavior-name=waypt_survey|index=2|hits=2/2|cycles=0|dist=21|eta=23,pHelmIvP:347:waypt_survey
34594337913.520134,vname=henry|behavior-name=waypt_survey|index=2|hits=2/2|cycles=0|dist=21|eta=22,pHelmIvP:348:waypt_survey
34594337913.7064,vname=henry|behavior-name=waypt_survey|index=2|hits=2/2|cycles=0|dist=20|eta=21,pHelmIvP:349:waypt_survey
34594337914.08886,vname=henry|behavior-name=waypt_survey|index=2|hits=2/2|cycles=0|dist=20|eta=20,pHelmIvP:351:waypt_survey
34594337914.65818,vname=henry|behavior-name=waypt_survey|index=2|hits=2/2|cycles=0|dist=20|eta=19,pHelmIvP:354:waypt_survey
34594337914.8511,vname=henry|behavior-name=waypt_survey|index=2|hits=2/2|cycles=0|dist=19|eta=18,pHelmIvP:355:waypt_survey
34594337915.25565,vname=henry|behavior-name=waypt_survey|index=2|hits=2/2|cycles=0|dist=19|eta=17,pHelmIvP:357:waypt_survey
34594337915.60891,vname=henry|behavior-name=waypt_survey|index=2|hits=2/2|cycles=0|dist=19|eta=16,pHelmIvP:359:waypt_survey
34594337915.817024,vname=henry|behavior-name=waypt_survey|index=2|hits=2/2|cycles=0|dist=18|eta=16,pHelmIvP:360:waypt_survey
34594337916.0216,vname=henry|behavior-name=waypt_survey|index=2|hits=2/2|cycles=0|dist=18|eta=15,pHelmIvP:361:waypt_survey
