time,NAME,X,Y,SPD,HDG,TYPE,MODE,ALLSTOP,TIME,LENGTH,src
34594337910.9455,henry,60.93,-32.74,1.22,74.81,kayak,MODE@ACTIVE:TRAVERSING,clear,101,34594337910.95,4,pNodeReporter
34594337910.9455,henry,60.93,-32.74,1.22,74.81,kayak,MODE@ACTIVE:TRAVERSING,clear,101,34594337910.95,4,pNodeReporter
34594337912.35936,henry,62.64,-32.28,1.15,72.77,kayak,MODE@ACTIVE:TRAVERSING,clear,102,34594337912.36,4,pNodeReporter
34594337912.63206,henry,62.9,-32.2,1.09,70.43,kayak,MODE@ACTIVE:TRAVERSING,clear,103,34594337912.63,4,pNodeReporter
34594337912.9189,henry,63.12,-32.11,1.04,68.41,kayak,MODE@ACTIVE:TRAVERSING,clear,104,34594337912.92,4,pNodeReporter
34594337913.18812,henry,63.54,-31.93,0.92,64.77,kayak,MODE@ACTIVE:TRAVERSING,clear,105,34594337913.19,4,pNodeReporter
34594337914.04863,henry,64.19,-31.6,1,61.74,kayak,MODE@ACTIVE:TRAVERSING,clear,106,34594337914.05,4,pNodeReporter
34594337914.60281,henry,64.68,-31.33,1.05,59.28,kayak,MODE@ACTIVE:TRAVERSING,clear,107,34594337914.6,4,pNodeReporter
34594337915.154816,henry,65.32,-30.92,1.11,56.07,kayak,MODE@ACTIVE:TRAVERSING,clear,108,34594337915.15,4,pNodeReporter
34594337915.43216,henry,65.32,-30.92,1.11,56.07,kayak,MODE@ACTIVE:TRAVERSING,clear,109,34594337915.43,4,pNodeReporter
34594337916.00755,henry,66.03,-30.41,1.17,53.16,kayak,MODE@ACTIVE:TRAVERSING,clear,110,34594337916.01,4,pNodeReporter
34594337916.86456,henry,66.94,-29.69,1.2,49.78,kayak,MODE@ACTIVE:TRAVERSING,clear,111,34594337916.86,4,pNodeReporter
34594337917.17756,henry,66.94,-29.69,1.2,49.78,kayak,MODE@ACTIVE:TRAVERSING,clear,112,34594337917.18,4,pNodeReporter
34594337917.75581,henry,67.57,-29.13,1.19,47.24,kayak,MODE@ACTIVE:TRAVERSING,clear,113,34594337917.75,4,pNodeReporter
34594337918.622444,henry,68.43,-28.29,1.2,43.92,kayak,MODE@ACTIVE:TRAVERSING,clear,114,34594337918.62,4,pNodeReporter
34594337919.4973,henry,69.02,-27.65,1.21,41.72,kayak,MODE@ACTIVE:TRAVERSING,clear,115,34594337919.5,4,pNodeReporter
34594337920.43869,henry,69.8,-26.73,1.24,39.25,kayak,MODE@ACTIVE:TRAVERSING,clear,116,34594337920.44,4,pNodeReporter
34594337921.584114,henry,70.71,-25.58,1.26,37.19,kayak,MODE@ACTIVE:TRAVERSING,clear,117,34594337921.58,4,pNodeReporter
34594337923.07058,henry,71.91,-23.93,1.26,35.08,kayak,MODE@ACTIVE:TRAVERSING,clear,118,34594337923.07,4,pNodeReporter
34594337924.56017,henry,72.76,-22.71,1.27,34.41,kayak,MODE@ACTIVE:TRAVERSING,clear,119,34594337924.56,4,pNodeReporter
34594337924.82695,henry,73.12,-22.18,1.26,34.14,kayak,MODE@ACTIVE:TRAVERSING,clear,120,34594337924.82,4,pNodeReporter
34594337926.31408,henry,74.01,-20.85,1.25,33.47,kayak,MODE@ACTIVE:TRAVERSING,clear,121,34594337926.31,4,pNodeReporter
34594337927.17956,henry,74.83,-19.6,1.25,33.04,kayak,MODE@ACTIVE:TRAVERSING,clear,122,34594337927.18,4,pNodeReporter
34594337927.744095,henry,75,-19.33,1.24,32.91,kayak,MODE@ACTIVE:TRAVERSING,clear,123,34594337927.74,4,pNodeReporter
34594337928.02837,henry,75.33,-18.81,1.23,32.58,kayak,MODE@ACTIVE:TRAVERSING,clear,124,34594337928.03,4,pNodeReporter
34594337930.03576,henry,76.55,-16.84,1.16,26.04,kayak,MODE@ACTIVE:TRAVERSING,clear,125,34594337930.03,4,pNodeReporter
34594337930.349075,henry,76.66,-16.6,1.1,21.37,kayak,MODE@ACTIVE:TRAVERSING,clear,126,34594337930.35,4,pNodeReporter
34594337930.661995,henry,76.8,-16.13,0.98,12.61,kayak,MODE@ACTIVE:TRAVERSING,clear,127,34594337930.66,4,pNodeReporter
34594337931.2771,henry,76.88,-15.7,0.87,8.94,kayak,MODE@ACTIVE:TRAVERSING,clear,128,34594337931.28,4,pNodeReporter
34594337931.86591,henry,76.96,-15.03,0.93,3.69,kayak,MODE@ACTIVE:TRAVERSING,clear,129,34594337931.87,4,pNodeReporter
34594337932.438034,henry,76.97,-14.57,0.95,0.19,kayak,MODE@ACTIVE:TRAVERSING,clear,130,34594337932.44,4,pNodeReporter
34594337933.00623,henry,76.96,-14.08,0.99,356.74,kayak,MODE@ACTIVE:TRAVERSING,clear,131,34594337933.01,4,pNodeReporter
34594337933.30186,henry,76.92,-13.61,1,353.07,kayak,MODE@ACTIVE:TRAVERSING,clear,132,34594337933.3,4,pNodeReporter
34594337933.89132,henry,76.85,-13.15,1.01,349.45,kayak,MODE@ACTIVE:TRAVERSING,clear,133,34594337933.89,4,pNodeReporter
