time,data,src
34594337884.779655,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=112,uFldShoreBroker
34594337885.82128,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=113,uFldShoreBroker
34594337886.86244,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=114,uFldShoreBroker
34594337887.90438,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=115,uFldShoreBroker
34594337894.36254,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=121,uFldShoreBroker
34594337895.46396,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=122,uFldShoreBroker
34594337896.49518,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=123,uFldShoreBroker
34594337897.54268,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=124,uFldShoreBroker
34594337898.5969,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=125,uFldShoreBroker
34594337899.65608,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=126,uFldShoreBroker
34594337900.748436,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=127,uFldShoreBroker
34594337901.8303,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=128,uFldShoreBroker
34594337902.92124,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=129,uFldShoreBroker
34594337904.00048,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=130,uFldShoreBroker
34594337911.73424,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=137,uFldShoreBroker
34594337912.82814,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=138,uFldShoreBroker
34594337913.952545,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=139,uFldShoreBroker
34594337915.023895,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=140,uFldShoreBroker
34594337916.082436,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=141,uFldShoreBroker
34594337917.18228,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=142,uFldShoreBroker
34594337918.26702,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=143,uFldShoreBroker
34594337919.33062,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=144,uFldShoreBroker
34594337920.429596,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=145,uFldShoreBroker
34594337921.52932,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=146,uFldShoreBroker
34594337927.93218,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=152,uFldShoreBroker
34594337929.014496,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=153,uFldShoreBroker
34594337930.035576,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=154,uFldShoreBroker
34594337931.0887,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=155,uFldShoreBroker
34594337932.18638,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=156,uFldShoreBroker
34594337933.20508,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=157,uFldShoreBroker
34594337934.30536,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=158,uFldShoreBroker
34594337935.34712,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=159,uFldShoreBroker
34594337936.42666,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=160,uFldShoreBroker
34594337937.50778,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=161,uFldShoreBroker
34594337943.96412,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=167,uFldShoreBroker
34594337945.083145,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=168,uFldShoreBroker
34594337946.17246,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=169,uFldShoreBroker
34594337947.26264,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=170,uFldShoreBroker
34594337948.32176,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=171,uFldShoreBroker
34594337949.42614,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=172,uFldShoreBroker
34594337950.43476,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=173,uFldShoreBroker
34594337951.51704,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=174,uFldShoreBroker
34594337952.597946,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=175,uFldShoreBroker
34594337953.67761,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=176,uFldShoreBroker
34594337960.07554,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=182,uFldShoreBroker
34594337961.15282,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=183,uFldShoreBroker
34594337962.25228,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=184,uFldShoreBroker
34594337963.32807,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=185,uFldShoreBroker
34594337964.42974,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=186,uFldShoreBroker
34594337965.48606,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=187,uFldShoreBroker
34594337966.60752,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=188,uFldShoreBroker
34594337967.6774,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=189,uFldShoreBroker
34594337968.70688,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=190,uFldShoreBroker
34594337969.72742,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=191,uFldShoreBroker
34594337976.17438,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=197,uFldShoreBroker
34594337977.251335,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=198,uFldShoreBroker
34594337978.35128,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=199,uFldShoreBroker
34594337979.4457,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=200,uFldShoreBroker
34594337980.53382,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=201,uFldShoreBroker
34594337981.61422,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=202,uFldShoreBroker
34594337982.69374,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=203,uFldShoreBroker
34594337983.7536,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=204,uFldShoreBroker
34594337984.82844,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=205,uFldShoreBroker
34594337985.93242,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=206,uFldShoreBroker
34594337992.449776,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=212,uFldShoreBroker
34594337993.479416,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=213,uFldShoreBroker
34594337994.48764,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=214,uFldShoreBroker
34594337995.5784,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=215,uFldShoreBroker
